"cty","dist","vil","vil.pay","fam.num","t.pay","med.pay","Q1.pay","Q3.pay","sd.pay","var.pay"
"臺北市","內湖區","康寧里",1213,2752,3337283,842,452,1570,1481.05,122.13
"臺北市","內湖區","明湖里",1046,1576,1649078,728,416,1309,1337.71,127.84
"臺北市","內湖區","蘆洲里",723,334,241495,564,366,873,590.92,81.73
"臺北市","內湖區","麗山里",1170,1899,2221827,726,429,1384,2053.82,175.54
"臺北市","內湖區","寶湖里",2015,2728,5497621,1183,544,2454,2925.04,145.14
"臺北市","內湖區","南湖里",1636,1646,2692333,1116,540,2122,1864.33,113.98
"臺北市","士林區","仁勇里",1052,1234,1297897,627,347,1222,2717.59,258.38
"臺北市","士林區","福林里",1373,970,1331756,679,356,1290,5675.39,413.37
"臺北市","士林區","福志里",1406,2771,3896063,747,407,1470,7101.24,505.06
"臺北市","士林區","福德里",1156,1545,1786325,735,392,1471,1258.1,108.81
"臺北市","士林區","福佳里",1230,2624,3228821,703,385,1394,2270.22,184.5
"臺北市","士林區","舊佳里",1131,2112,2389101,644,346,1285,3086.14,272.82
"臺北市","士林區","富光里",759,1632,1238641,586,351,938,666.86,87.86
"臺北市","士林區","後港里",991,2695,2671348,654,379,1196,1378.31,139.05
"臺北市","士林區","前港里",1131,1457,1648365,695,376,1239,2264.09,200.12
"臺北市","士林區","福中里",956,2230,2131227,662,382,1157,1082.92,113.31
"臺北市","士林區","葫蘆里",832,2259,1878730,620,363,1050,875.56,105.28
